s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,RUL_binary,attack
0.104286,9050.63,24.4149,0.105492,392.025,-0.34831,38.9595,0,0
0.151857,9050.87,23.2426,0.100052,392.05,-0.410842,38.955,0,0
0.291223,9050.85,24.6618,0.094054,392.0,-0.367745,38.944,0,0
0.242123,9050.87,24.6251,0.09168,391.95,-0.4851,38.945,0,0
0.117822,9050.87,20.5552,0.109502,391.975,-0.151179,38.9363,0,0
0.117419,9050.93,23.006,0.111605,391.875,-0.262828,38.9373,0,0
0.047943,9051.23,22.1217,0.113238,391.95,0.070532,38.9323,0,0
0.105044,9050.96,22.584,0.112932,391.9,0.158763,38.923,0,0
-0.11296,9050.62,23.8691,0.115421,391.925,0.146005,38.9275,0,0
-0.17713,9049.51,17.9815,0.108982,391.925,0.334356,38.9098,0,0
-0.031217,9049.78,18.2595,0.116996,391.9,0.505564,38.9108,0,0
-0.085312,9049.51,17.2838,0.121628,391.925,0.464715,38.9095,0,0
-0.210804,9049.16,15.7097,0.106814,392.05,0.502132,38.9093,0,0
-0.178891,9049.09,15.5387,0.099087,392.1,0.335864,38.8975,0,0
-0.235942,9048.85,12.7421,0.101361,392.125,0.31479,38.9008,0,0
-0.329248,9048.72,11.5847,0.08205,392.4,0.708456,38.906,0,0
-0.398976,9048.8,12.0588,0.080026,392.45,0.663687,38.9028,0,0
-0.380517,9048.85,9.42684,0.077134,392.625,0.667334,38.9063,0,0
-0.309986,9049.15,8.2551,0.079055,392.6,0.617031,38.8998,0,0
-0.480013,9048.97,10.1751,0.097793,392.675,0.452375,38.8963,0,0
-0.394968,9049.05,10.5393,0.096961,392.725,0.445587,38.9005,0,0
-0.33501,9048.85,9.36122,0.08612,392.725,0.445587,38.89,0,0
-0.381441,9049.03,10.7019,0.081249,392.8,0.405316,38.8895,0,0
-0.507716,9048.45,10.726,0.086162,392.825,0.353676,38.8705,0,0
-0.513794,9048.34,11.2124,0.083799,392.85,0.302421,38.859,0,0
-0.326497,9048.47,11.4541,0.092754,392.85,0.302421,38.8592,0,0
-0.257968,9048.49,15.4591,0.086022,393.0,0.15,38.8525,0,0
-0.220636,9048.26,14.5876,0.122675,393.075,0.190258,38.856,0,0
-0.238961,9048.38,14.2827,0.104138,393.1,0.157213,38.8507,0,0
0.05981,9047.53,17.7667,0.13579,393.15,-0.302008,38.8028,0,0
0.125997,9047.59,17.8011,0.138017,393.15,-0.302008,38.801,0,0
0.022529,9047.45,18.307,0.160163,393.325,0.133862,38.77,0,0
-0.068182,9047.67,16.7445,0.191845,393.375,0.055697,38.7625,0,0
0.060418,9046.82,21.0466,0.170014,393.5,-0.139414,38.7377,0,0
0.09515,9046.59,22.2988,0.184011,393.65,0.020883,38.7292,0,0
0.187327,9046.02,19.8976,0.150392,393.925,-0.121146,38.7022,1,0
-0.001898,9045.26,22.7747,0.160399,394.45,0.238605,38.6463,1,0
-0.080601,9045.18,23.673,0.157943,394.55,0.289183,38.6398,1,0
-0.092872,9044.86,19.8521,0.158529,394.575,0.230542,38.6325,1,0
-0.503483,9053.5,12.8837,0.089398,391.2,0.959924,39.0492,0,0
-0.510402,9053.36,14.4578,0.101842,391.275,0.692201,39.0377,0,0
-0.503094,9053.19,15.6024,0.101567,391.225,0.744372,39.027,0,0
-0.428031,9053.27,15.2563,0.092738,391.25,0.660523,39.021,0,0
-0.335572,9053.22,15.3076,0.094374,391.25,0.660523,39.0228,0,0
-0.26647,9053.02,17.6264,0.081184,391.225,0.647022,39.0428,0,0
-0.143455,9053.34,20.2913,0.090908,391.225,0.647022,39.0417,0,0
-0.05406,9053.38,21.0408,0.089238,391.25,0.563436,39.0382,0,0
0.076886,9053.01,21.1689,0.087379,391.375,0.489208,39.0432,0,0
0.118636,9053.37,20.1758,0.090595,391.475,0.308257,39.0397,0,0
0.447205,9053.3,20.4799,0.096733,391.475,-0.282496,39.0303,0,0
0.429317,9053.21,19.3272,0.093299,391.45,-0.319905,39.0335,0,0
0.453913,9053.51,18.1227,0.114014,391.35,-0.104109,39.044,0,0
0.492611,9053.34,18.0229,0.113663,391.35,-0.104109,39.042,0,0
0.406368,9053.07,17.0735,0.114189,391.375,-0.078698,39.0455,0,0
0.555264,9053.42,15.6521,0.108876,391.475,0.081157,39.0403,0,0
0.629761,9053.03,16.7274,0.108171,391.45,0.16266,39.0385,0,0
0.521754,9053.17,16.1744,0.108497,391.45,0.16266,39.0388,0,0
0.494267,9053.26,14.9071,0.10649,391.45,0.16266,39.0355,0,0
0.557557,9053.43,15.6973,0.118375,391.475,0.081157,39.031,0,0
0.405525,9053.74,15.2817,0.120358,391.475,0.081157,39.025,0,0
0.37492,9053.78,15.2863,0.11721,391.525,0.049209,39.0278,0,0
0.366788,9053.74,15.0641,0.115371,391.45,0.029612,39.0213,0,0
0.159587,9054.2,13.8162,0.109417,391.45,0.045283,39.015,0,0
0.210025,9054.53,15.0343,0.105043,391.425,0.120629,39.021,0,0
0.257879,9054.35,16.3951,0.097022,391.45,0.154346,39.0237,0,0
0.305925,9054.54,16.2193,0.096317,391.375,0.273282,39.0242,0,0
0.215894,9054.46,15.772,0.095877,391.4,0.196534,39.0262,0,0
0.162193,9054.4,15.516,0.086313,391.475,0.077028,39.022,0,0
